SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Manual Daily Rainfall (mm)
12486,Bokajan,CWC,18,Assam,292,KARBI ANGLONG,DIPHU,-,-,Brahmaputra,Brahmaputra,Dhansiri (South),-,-,Dhansiri (South),26.01944444,93.78972222,16-05-2023 08:30,7.2
12487,Bokajan,CWC,18,Assam,292,KARBI ANGLONG,DIPHU,-,-,Brahmaputra,Brahmaputra,Dhansiri (South),-,-,Dhansiri (South),26.01944444,93.78972222,17-05-2023 02:30,2.4
12488,Bokajan,CWC,18,Assam,292,KARBI ANGLONG,DIPHU,-,-,Brahmaputra,Brahmaputra,Dhansiri (South),-,-,Dhansiri (South),26.01944444,93.78972222,18-05-2023 05:30,8.2
12489,Bokajan,CWC,18,Assam,292,KARBI ANGLONG,DIPHU,-,-,Brahmaputra,Brahmaputra,Dhansiri (South),-,-,Dhansiri (South),26.01944444,93.78972222,19-05-2023 05:30,5.2
12490,Bokajan,CWC,18,Assam,292,KARBI ANGLONG,DIPHU,-,-,Brahmaputra,Brahmaputra,Dhansiri (South),-,-,Dhansiri (South),26.01944444,93.78972222,19-05-2023 17:30,6.2
12491,Bokajan,CWC,18,Assam,292,KARBI ANGLONG,DIPHU,-,-,Brahmaputra,Brahmaputra,Dhansiri (South),-,-,Dhansiri (South),26.01944444,93.78972222,21-05-2023 05:30,4.4
12492,Bokajan,CWC,18,Assam,292,KARBI ANGLONG,DIPHU,-,-,Brahmaputra,Brahmaputra,Dhansiri (South),-,-,Dhansiri (South),26.01944444,93.78972222,24-05-2023 14:30,4.2
12493,Bokajan,CWC,18,Assam,292,KARBI ANGLONG,DIPHU,-,-,Brahmaputra,Brahmaputra,Dhansiri (South),-,-,Dhansiri (South),26.01944444,93.78972222,26-05-2023 05:30,19.6
12494,Bokajan,CWC,18,Assam,292,KARBI ANGLONG,DIPHU,-,-,Brahmaputra,Brahmaputra,Dhansiri (South),-,-,Dhansiri (South),26.01944444,93.78972222,26-05-2023 08:30,3.4
12495,Bokajan,CWC,18,Assam,292,KARBI ANGLONG,DIPHU,-,-,Brahmaputra,Brahmaputra,Dhansiri (South),-,-,Dhansiri (South),26.01944444,93.78972222,27-05-2023 11:30,6
12496,Bokajan,CWC,18,Assam,292,KARBI ANGLONG,DIPHU,-,-,Brahmaputra,Brahmaputra,Dhansiri (South),-,-,Dhansiri (South),26.01944444,93.78972222,09-06-2023 14:30,7.2
12497,Bokajan,CWC,18,Assam,292,KARBI ANGLONG,DIPHU,-,-,Brahmaputra,Brahmaputra,Dhansiri (South),-,-,Dhansiri (South),26.01944444,93.78972222,10-06-2023 17:30,19.6
12498,Bokajan,CWC,18,Assam,292,KARBI ANGLONG,DIPHU,-,-,Brahmaputra,Brahmaputra,Dhansiri (South),-,-,Dhansiri (South),26.01944444,93.78972222,11-06-2023 08:30,11.4
12499,Bokajan,CWC,18,Assam,292,KARBI ANGLONG,DIPHU,-,-,Brahmaputra,Brahmaputra,Dhansiri (South),-,-,Dhansiri (South),26.01944444,93.78972222,11-06-2023 11:30,4.2
12500,Bokajan,CWC,18,Assam,292,KARBI ANGLONG,DIPHU,-,-,Brahmaputra,Brahmaputra,Dhansiri (South),-,-,Dhansiri (South),26.01944444,93.78972222,12-06-2023 05:30,3.2
12501,Bokajan,CWC,18,Assam,292,KARBI ANGLONG,DIPHU,-,-,Brahmaputra,Brahmaputra,Dhansiri (South),-,-,Dhansiri (South),26.01944444,93.78972222,12-06-2023 17:30,2.2
12502,Bokajan,CWC,18,Assam,292,KARBI ANGLONG,DIPHU,-,-,Brahmaputra,Brahmaputra,Dhansiri (South),-,-,Dhansiri (South),26.01944444,93.78972222,14-06-2023 05:30,11.8
12503,Bokajan,CWC,18,Assam,292,KARBI ANGLONG,DIPHU,-,-,Brahmaputra,Brahmaputra,Dhansiri (South),-,-,Dhansiri (South),26.01944444,93.78972222,14-06-2023 14:30,6.2
12504,Bokajan,CWC,18,Assam,292,KARBI ANGLONG,DIPHU,-,-,Brahmaputra,Brahmaputra,Dhansiri (South),-,-,Dhansiri (South),26.01944444,93.78972222,16-06-2023 05:30,11.8
12505,Bokajan,CWC,18,Assam,292,KARBI ANGLONG,DIPHU,-,-,Brahmaputra,Brahmaputra,Dhansiri (South),-,-,Dhansiri (South),26.01944444,93.78972222,16-06-2023 11:30,8.6
12506,Bokajan,CWC,18,Assam,292,KARBI ANGLONG,DIPHU,-,-,Brahmaputra,Brahmaputra,Dhansiri (South),-,-,Dhansiri (South),26.01944444,93.78972222,17-06-2023 05:30,18.8
12507,Bokajan,CWC,18,Assam,292,KARBI ANGLONG,DIPHU,-,-,Brahmaputra,Brahmaputra,Dhansiri (South),-,-,Dhansiri (South),26.01944444,93.78972222,17-06-2023 08:30,4.6
12508,Bokajan,CWC,18,Assam,292,KARBI ANGLONG,DIPHU,-,-,Brahmaputra,Brahmaputra,Dhansiri (South),-,-,Dhansiri (South),26.01944444,93.78972222,17-06-2023 11:30,5.4
12509,Bokajan,CWC,18,Assam,292,KARBI ANGLONG,DIPHU,-,-,Brahmaputra,Brahmaputra,Dhansiri (South),-,-,Dhansiri (South),26.01944444,93.78972222,18-06-2023 05:30,4.2
12510,Bokajan,CWC,18,Assam,292,KARBI ANGLONG,DIPHU,-,-,Brahmaputra,Brahmaputra,Dhansiri (South),-,-,Dhansiri (South),26.01944444,93.78972222,18-06-2023 11:30,2.4
12511,Bokajan,CWC,18,Assam,292,KARBI ANGLONG,DIPHU,-,-,Brahmaputra,Brahmaputra,Dhansiri (South),-,-,Dhansiri (South),26.01944444,93.78972222,19-06-2023 05:30,3.8
12512,Bokajan,CWC,18,Assam,292,KARBI ANGLONG,DIPHU,-,-,Brahmaputra,Brahmaputra,Dhansiri (South),-,-,Dhansiri (South),26.01944444,93.78972222,25-06-2023 05:30,45.8
12513,Bokajan,CWC,18,Assam,292,KARBI ANGLONG,DIPHU,-,-,Brahmaputra,Brahmaputra,Dhansiri (South),-,-,Dhansiri (South),26.01944444,93.78972222,03-07-2023 05:30,3
12514,Bokajan,CWC,18,Assam,292,KARBI ANGLONG,DIPHU,-,-,Brahmaputra,Brahmaputra,Dhansiri (South),-,-,Dhansiri (South),26.01944444,93.78972222,03-07-2023 08:30,8.6
12515,Bokajan,CWC,18,Assam,292,KARBI ANGLONG,DIPHU,-,-,Brahmaputra,Brahmaputra,Dhansiri (South),-,-,Dhansiri (South),26.01944444,93.78972222,03-07-2023 14:30,3.2
12516,Bokajan,CWC,18,Assam,292,KARBI ANGLONG,DIPHU,-,-,Brahmaputra,Brahmaputra,Dhansiri (South),-,-,Dhansiri (South),26.01944444,93.78972222,03-07-2023 17:30,11
12517,Bokajan,CWC,18,Assam,292,KARBI ANGLONG,DIPHU,-,-,Brahmaputra,Brahmaputra,Dhansiri (South),-,-,Dhansiri (South),26.01944444,93.78972222,04-07-2023 23:30,4.6
12518,Bokajan,CWC,18,Assam,292,KARBI ANGLONG,DIPHU,-,-,Brahmaputra,Brahmaputra,Dhansiri (South),-,-,Dhansiri (South),26.01944444,93.78972222,05-07-2023 23:30,4.6
12519,Bokajan,CWC,18,Assam,292,KARBI ANGLONG,DIPHU,-,-,Brahmaputra,Brahmaputra,Dhansiri (South),-,-,Dhansiri (South),26.01944444,93.78972222,06-07-2023 02:30,7
12520,Bokajan,CWC,18,Assam,292,KARBI ANGLONG,DIPHU,-,-,Brahmaputra,Brahmaputra,Dhansiri (South),-,-,Dhansiri (South),26.01944444,93.78972222,17-07-2023 05:30,7.6
12521,Bokajan,CWC,18,Assam,292,KARBI ANGLONG,DIPHU,-,-,Brahmaputra,Brahmaputra,Dhansiri (South),-,-,Dhansiri (South),26.01944444,93.78972222,21-07-2023 05:30,32.4
12522,Bokajan,CWC,18,Assam,292,KARBI ANGLONG,DIPHU,-,-,Brahmaputra,Brahmaputra,Dhansiri (South),-,-,Dhansiri (South),26.01944444,93.78972222,23-07-2023 05:30,28.8
12523,Bokajan,CWC,18,Assam,292,KARBI ANGLONG,DIPHU,-,-,Brahmaputra,Brahmaputra,Dhansiri (South),-,-,Dhansiri (South),26.01944444,93.78972222,23-07-2023 14:30,8.6
12524,Bokajan,CWC,18,Assam,292,KARBI ANGLONG,DIPHU,-,-,Brahmaputra,Brahmaputra,Dhansiri (South),-,-,Dhansiri (South),26.01944444,93.78972222,24-07-2023 14:30,14.3
12525,Bokajan,CWC,18,Assam,292,KARBI ANGLONG,DIPHU,-,-,Brahmaputra,Brahmaputra,Dhansiri (South),-,-,Dhansiri (South),26.01944444,93.78972222,25-07-2023 08:30,24
12526,Bokajan,CWC,18,Assam,292,KARBI ANGLONG,DIPHU,-,-,Brahmaputra,Brahmaputra,Dhansiri (South),-,-,Dhansiri (South),26.01944444,93.78972222,26-07-2023 17:30,4.2
12527,Bokajan,CWC,18,Assam,292,KARBI ANGLONG,DIPHU,-,-,Brahmaputra,Brahmaputra,Dhansiri (South),-,-,Dhansiri (South),26.01944444,93.78972222,30-07-2023 23:30,6.4
12528,Bokajan,CWC,18,Assam,292,KARBI ANGLONG,DIPHU,-,-,Brahmaputra,Brahmaputra,Dhansiri (South),-,-,Dhansiri (South),26.01944444,93.78972222,31-07-2023 05:30,17.4
12529,Bokajan,CWC,18,Assam,292,KARBI ANGLONG,DIPHU,-,-,Brahmaputra,Brahmaputra,Dhansiri (South),-,-,Dhansiri (South),26.01944444,93.78972222,04-08-2023 20:30,3.6
12530,Bokajan,CWC,18,Assam,292,KARBI ANGLONG,DIPHU,-,-,Brahmaputra,Brahmaputra,Dhansiri (South),-,-,Dhansiri (South),26.01944444,93.78972222,06-08-2023 20:30,0.8
12531,Bokajan,CWC,18,Assam,292,KARBI ANGLONG,DIPHU,-,-,Brahmaputra,Brahmaputra,Dhansiri (South),-,-,Dhansiri (South),26.01944444,93.78972222,07-08-2023 23:30,11.6
12532,Bokajan,CWC,18,Assam,292,KARBI ANGLONG,DIPHU,-,-,Brahmaputra,Brahmaputra,Dhansiri (South),-,-,Dhansiri (South),26.01944444,93.78972222,08-08-2023 05:30,100.13
12533,Bokajan,CWC,18,Assam,292,KARBI ANGLONG,DIPHU,-,-,Brahmaputra,Brahmaputra,Dhansiri (South),-,-,Dhansiri (South),26.01944444,93.78972222,10-08-2023 05:30,4.6
12534,Bokajan,CWC,18,Assam,292,KARBI ANGLONG,DIPHU,-,-,Brahmaputra,Brahmaputra,Dhansiri (South),-,-,Dhansiri (South),26.01944444,93.78972222,12-08-2023 20:30,3.2
12535,Bokajan,CWC,18,Assam,292,KARBI ANGLONG,DIPHU,-,-,Brahmaputra,Brahmaputra,Dhansiri (South),-,-,Dhansiri (South),26.01944444,93.78972222,13-08-2023 17:30,8.6
12536,Bokajan,CWC,18,Assam,292,KARBI ANGLONG,DIPHU,-,-,Brahmaputra,Brahmaputra,Dhansiri (South),-,-,Dhansiri (South),26.01944444,93.78972222,19-08-2023 05:30,3.2
12537,Bokajan,CWC,18,Assam,292,KARBI ANGLONG,DIPHU,-,-,Brahmaputra,Brahmaputra,Dhansiri (South),-,-,Dhansiri (South),26.01944444,93.78972222,22-08-2023 05:30,12.8
12538,Bokajan,CWC,18,Assam,292,KARBI ANGLONG,DIPHU,-,-,Brahmaputra,Brahmaputra,Dhansiri (South),-,-,Dhansiri (South),26.01944444,93.78972222,26-08-2023 02:30,6.2
12539,Bokajan,CWC,18,Assam,292,KARBI ANGLONG,DIPHU,-,-,Brahmaputra,Brahmaputra,Dhansiri (South),-,-,Dhansiri (South),26.01944444,93.78972222,26-08-2023 14:30,3.2
12540,Bokajan,CWC,18,Assam,292,KARBI ANGLONG,DIPHU,-,-,Brahmaputra,Brahmaputra,Dhansiri (South),-,-,Dhansiri (South),26.01944444,93.78972222,07-09-2023 17:30,2.3
12541,Bokajan,CWC,18,Assam,292,KARBI ANGLONG,DIPHU,-,-,Brahmaputra,Brahmaputra,Dhansiri (South),-,-,Dhansiri (South),26.01944444,93.78972222,08-09-2023 05:30,10.2
12542,Bokajan,CWC,18,Assam,292,KARBI ANGLONG,DIPHU,-,-,Brahmaputra,Brahmaputra,Dhansiri (South),-,-,Dhansiri (South),26.01944444,93.78972222,10-09-2023 11:30,8.2
12543,Bokajan,CWC,18,Assam,292,KARBI ANGLONG,DIPHU,-,-,Brahmaputra,Brahmaputra,Dhansiri (South),-,-,Dhansiri (South),26.01944444,93.78972222,10-09-2023 17:30,4.6
12544,Bokajan,CWC,18,Assam,292,KARBI ANGLONG,DIPHU,-,-,Brahmaputra,Brahmaputra,Dhansiri (South),-,-,Dhansiri (South),26.01944444,93.78972222,12-09-2023 05:30,65.6
12545,Bokajan,CWC,18,Assam,292,KARBI ANGLONG,DIPHU,-,-,Brahmaputra,Brahmaputra,Dhansiri (South),-,-,Dhansiri (South),26.01944444,93.78972222,13-09-2023 05:30,17.6
12546,Bokajan,CWC,18,Assam,292,KARBI ANGLONG,DIPHU,-,-,Brahmaputra,Brahmaputra,Dhansiri (South),-,-,Dhansiri (South),26.01944444,93.78972222,13-09-2023 08:30,10.2
12547,Bokajan,CWC,18,Assam,292,KARBI ANGLONG,DIPHU,-,-,Brahmaputra,Brahmaputra,Dhansiri (South),-,-,Dhansiri (South),26.01944444,93.78972222,18-09-2023 05:30,37.2
12548,Bokajan,CWC,18,Assam,292,KARBI ANGLONG,DIPHU,-,-,Brahmaputra,Brahmaputra,Dhansiri (South),-,-,Dhansiri (South),26.01944444,93.78972222,19-09-2023 14:30,12.4
12549,Bokajan,CWC,18,Assam,292,KARBI ANGLONG,DIPHU,-,-,Brahmaputra,Brahmaputra,Dhansiri (South),-,-,Dhansiri (South),26.01944444,93.78972222,20-09-2023 05:30,5.2
12550,Bokajan,CWC,18,Assam,292,KARBI ANGLONG,DIPHU,-,-,Brahmaputra,Brahmaputra,Dhansiri (South),-,-,Dhansiri (South),26.01944444,93.78972222,21-09-2023 05:30,26.2
12551,Bokajan,CWC,18,Assam,292,KARBI ANGLONG,DIPHU,-,-,Brahmaputra,Brahmaputra,Dhansiri (South),-,-,Dhansiri (South),26.01944444,93.78972222,21-09-2023 23:30,4.6
12552,Bokajan,CWC,18,Assam,292,KARBI ANGLONG,DIPHU,-,-,Brahmaputra,Brahmaputra,Dhansiri (South),-,-,Dhansiri (South),26.01944444,93.78972222,22-09-2023 11:30,1
12553,Bokajan,CWC,18,Assam,292,KARBI ANGLONG,DIPHU,-,-,Brahmaputra,Brahmaputra,Dhansiri (South),-,-,Dhansiri (South),26.01944444,93.78972222,24-09-2023 20:30,2.4
12554,Bokajan,CWC,18,Assam,292,KARBI ANGLONG,DIPHU,-,-,Brahmaputra,Brahmaputra,Dhansiri (South),-,-,Dhansiri (South),26.01944444,93.78972222,06-10-2023 05:30,6.8
12555,Bokajan,CWC,18,Assam,292,KARBI ANGLONG,DIPHU,-,-,Brahmaputra,Brahmaputra,Dhansiri (South),-,-,Dhansiri (South),26.01944444,93.78972222,07-10-2023 05:30,25.6
12556,Bokajan,CWC,18,Assam,292,KARBI ANGLONG,DIPHU,-,-,Brahmaputra,Brahmaputra,Dhansiri (South),-,-,Dhansiri (South),26.01944444,93.78972222,27-10-2023 08:30,8.6
12557,Bokajan,CWC,18,Assam,292,KARBI ANGLONG,DIPHU,-,-,Brahmaputra,Brahmaputra,Dhansiri (South),-,-,Dhansiri (South),26.01944444,93.78972222,17-11-2023 08:30,3.2
12558,Bokajan,CWC,18,Assam,292,KARBI ANGLONG,DIPHU,-,-,Brahmaputra,Brahmaputra,Dhansiri (South),-,-,Dhansiri (South),26.01944444,93.78972222,18-11-2023 08:30,15.7
12559,Bokajan,CWC,18,Assam,292,KARBI ANGLONG,DIPHU,-,-,Brahmaputra,Brahmaputra,Dhansiri (South),-,-,Dhansiri (South),26.01944444,93.78972222,08-12-2023 08:30,10.8
12560,Bokajan,CWC,18,Assam,292,KARBI ANGLONG,DIPHU,-,-,Brahmaputra,Brahmaputra,Dhansiri (South),-,-,Dhansiri (South),26.01944444,93.78972222,02-01-2024 08:30,8.3
12561,Bokajan,CWC,18,Assam,292,KARBI ANGLONG,DIPHU,-,-,Brahmaputra,Brahmaputra,Dhansiri (South),-,-,Dhansiri (South),26.01944444,93.78972222,03-02-2024 08:30,3.2
12562,Bokajan,CWC,18,Assam,292,KARBI ANGLONG,DIPHU,-,-,Brahmaputra,Brahmaputra,Dhansiri (South),-,-,Dhansiri (South),26.01944444,93.78972222,18-02-2024 08:30,4.3
12563,Bokajan,CWC,18,Assam,292,KARBI ANGLONG,DIPHU,-,-,Brahmaputra,Brahmaputra,Dhansiri (South),-,-,Dhansiri (South),26.01944444,93.78972222,21-02-2024 08:30,8.6
12564,Bokajan,CWC,18,Assam,292,KARBI ANGLONG,DIPHU,-,-,Brahmaputra,Brahmaputra,Dhansiri (South),-,-,Dhansiri (South),26.01944444,93.78972222,22-02-2024 08:30,6.2
12565,Bokajan,CWC,18,Assam,292,KARBI ANGLONG,DIPHU,-,-,Brahmaputra,Brahmaputra,Dhansiri (South),-,-,Dhansiri (South),26.01944444,93.78972222,23-02-2024 08:30,4.3
12566,Bokajan,CWC,18,Assam,292,KARBI ANGLONG,DIPHU,-,-,Brahmaputra,Brahmaputra,Dhansiri (South),-,-,Dhansiri (South),26.01944444,93.78972222,18-04-2024 08:30,4.6
12567,Bokajan,CWC,18,Assam,292,KARBI ANGLONG,DIPHU,-,-,Brahmaputra,Brahmaputra,Dhansiri (South),-,-,Dhansiri (South),26.01944444,93.78972222,20-04-2024 08:30,21.8
12568,Bokajan,CWC,18,Assam,292,KARBI ANGLONG,DIPHU,-,-,Brahmaputra,Brahmaputra,Dhansiri (South),-,-,Dhansiri (South),26.01944444,93.78972222,25-04-2024 08:30,6.3
12569,Bokajan,CWC,18,Assam,292,KARBI ANGLONG,DIPHU,-,-,Brahmaputra,Brahmaputra,Dhansiri (South),-,-,Dhansiri (South),26.01944444,93.78972222,05-05-2024 14:30,6.4
12570,Bokajan,CWC,18,Assam,292,KARBI ANGLONG,DIPHU,-,-,Brahmaputra,Brahmaputra,Dhansiri (South),-,-,Dhansiri (South),26.01944444,93.78972222,06-05-2024 05:30,12
12571,Bokajan,CWC,18,Assam,292,KARBI ANGLONG,DIPHU,-,-,Brahmaputra,Brahmaputra,Dhansiri (South),-,-,Dhansiri (South),26.01944444,93.78972222,10-05-2024 05:30,6.4
12572,Bokajan,CWC,18,Assam,292,KARBI ANGLONG,DIPHU,-,-,Brahmaputra,Brahmaputra,Dhansiri (South),-,-,Dhansiri (South),26.01944444,93.78972222,18-05-2024 11:30,4.6
12573,Bokajan,CWC,18,Assam,292,KARBI ANGLONG,DIPHU,-,-,Brahmaputra,Brahmaputra,Dhansiri (South),-,-,Dhansiri (South),26.01944444,93.78972222,28-05-2024 11:30,4.6
12574,Bokajan,CWC,18,Assam,292,KARBI ANGLONG,DIPHU,-,-,Brahmaputra,Brahmaputra,Dhansiri (South),-,-,Dhansiri (South),26.01944444,93.78972222,28-05-2024 17:30,12.6
12575,Bokajan,CWC,18,Assam,292,KARBI ANGLONG,DIPHU,-,-,Brahmaputra,Brahmaputra,Dhansiri (South),-,-,Dhansiri (South),26.01944444,93.78972222,02-06-2024 05:30,12.8
12576,Bokajan,CWC,18,Assam,292,KARBI ANGLONG,DIPHU,-,-,Brahmaputra,Brahmaputra,Dhansiri (South),-,-,Dhansiri (South),26.01944444,93.78972222,05-06-2024 17:30,21.2
12577,Bokajan,CWC,18,Assam,292,KARBI ANGLONG,DIPHU,-,-,Brahmaputra,Brahmaputra,Dhansiri (South),-,-,Dhansiri (South),26.01944444,93.78972222,11-06-2024 05:30,10.4
12578,Bokajan,CWC,18,Assam,292,KARBI ANGLONG,DIPHU,-,-,Brahmaputra,Brahmaputra,Dhansiri (South),-,-,Dhansiri (South),26.01944444,93.78972222,14-06-2024 17:30,10.2
12579,Bokajan,CWC,18,Assam,292,KARBI ANGLONG,DIPHU,-,-,Brahmaputra,Brahmaputra,Dhansiri (South),-,-,Dhansiri (South),26.01944444,93.78972222,15-06-2024 11:30,2.4
12580,Bokajan,CWC,18,Assam,292,KARBI ANGLONG,DIPHU,-,-,Brahmaputra,Brahmaputra,Dhansiri (South),-,-,Dhansiri (South),26.01944444,93.78972222,19-06-2024 05:30,2.2
12581,Bokajan,CWC,18,Assam,292,KARBI ANGLONG,DIPHU,-,-,Brahmaputra,Brahmaputra,Dhansiri (South),-,-,Dhansiri (South),26.01944444,93.78972222,19-06-2024 11:30,4.6
12582,Bokajan,CWC,18,Assam,292,KARBI ANGLONG,DIPHU,-,-,Brahmaputra,Brahmaputra,Dhansiri (South),-,-,Dhansiri (South),26.01944444,93.78972222,20-06-2024 08:30,2.2
12583,Bokajan,CWC,18,Assam,292,KARBI ANGLONG,DIPHU,-,-,Brahmaputra,Brahmaputra,Dhansiri (South),-,-,Dhansiri (South),26.01944444,93.78972222,24-06-2024 17:30,21.8
12584,Bokajan,CWC,18,Assam,292,KARBI ANGLONG,DIPHU,-,-,Brahmaputra,Brahmaputra,Dhansiri (South),-,-,Dhansiri (South),26.01944444,93.78972222,24-06-2024 23:30,35.8
12585,Bokajan,CWC,18,Assam,292,KARBI ANGLONG,DIPHU,-,-,Brahmaputra,Brahmaputra,Dhansiri (South),-,-,Dhansiri (South),26.01944444,93.78972222,25-06-2024 17:30,4.6
12586,Bokajan,CWC,18,Assam,292,KARBI ANGLONG,DIPHU,-,-,Brahmaputra,Brahmaputra,Dhansiri (South),-,-,Dhansiri (South),26.01944444,93.78972222,26-06-2024 08:30,29.6
12587,Bokajan,CWC,18,Assam,292,KARBI ANGLONG,DIPHU,-,-,Brahmaputra,Brahmaputra,Dhansiri (South),-,-,Dhansiri (South),26.01944444,93.78972222,27-06-2024 17:30,4.8
12588,Bokajan,CWC,18,Assam,292,KARBI ANGLONG,DIPHU,-,-,Brahmaputra,Brahmaputra,Dhansiri (South),-,-,Dhansiri (South),26.01944444,93.78972222,27-06-2024 23:30,3.8
12589,Bokajan,CWC,18,Assam,292,KARBI ANGLONG,DIPHU,-,-,Brahmaputra,Brahmaputra,Dhansiri (South),-,-,Dhansiri (South),26.01944444,93.78972222,28-06-2024 08:30,9.2
12590,Bokajan,CWC,18,Assam,292,KARBI ANGLONG,DIPHU,-,-,Brahmaputra,Brahmaputra,Dhansiri (South),-,-,Dhansiri (South),26.01944444,93.78972222,01-07-2024 05:30,3.4
12591,Bokajan,CWC,18,Assam,292,KARBI ANGLONG,DIPHU,-,-,Brahmaputra,Brahmaputra,Dhansiri (South),-,-,Dhansiri (South),26.01944444,93.78972222,01-07-2024 08:30,16.2
12592,Bokajan,CWC,18,Assam,292,KARBI ANGLONG,DIPHU,-,-,Brahmaputra,Brahmaputra,Dhansiri (South),-,-,Dhansiri (South),26.01944444,93.78972222,01-07-2024 11:30,8.6
12593,Bokajan,CWC,18,Assam,292,KARBI ANGLONG,DIPHU,-,-,Brahmaputra,Brahmaputra,Dhansiri (South),-,-,Dhansiri (South),26.01944444,93.78972222,01-07-2024 14:30,2.2
12594,Bokajan,CWC,18,Assam,292,KARBI ANGLONG,DIPHU,-,-,Brahmaputra,Brahmaputra,Dhansiri (South),-,-,Dhansiri (South),26.01944444,93.78972222,01-07-2024 17:30,2.4
12595,Bokajan,CWC,18,Assam,292,KARBI ANGLONG,DIPHU,-,-,Brahmaputra,Brahmaputra,Dhansiri (South),-,-,Dhansiri (South),26.01944444,93.78972222,01-07-2024 20:30,1
12596,Bokajan,CWC,18,Assam,292,KARBI ANGLONG,DIPHU,-,-,Brahmaputra,Brahmaputra,Dhansiri (South),-,-,Dhansiri (South),26.01944444,93.78972222,02-07-2024 05:30,32.6
12597,Bokajan,CWC,18,Assam,292,KARBI ANGLONG,DIPHU,-,-,Brahmaputra,Brahmaputra,Dhansiri (South),-,-,Dhansiri (South),26.01944444,93.78972222,03-07-2024 05:30,5.2
12598,Bokajan,CWC,18,Assam,292,KARBI ANGLONG,DIPHU,-,-,Brahmaputra,Brahmaputra,Dhansiri (South),-,-,Dhansiri (South),26.01944444,93.78972222,03-07-2024 08:30,3
12599,Bokajan,CWC,18,Assam,292,KARBI ANGLONG,DIPHU,-,-,Brahmaputra,Brahmaputra,Dhansiri (South),-,-,Dhansiri (South),26.01944444,93.78972222,03-07-2024 20:30,8.6
12600,Bokajan,CWC,18,Assam,292,KARBI ANGLONG,DIPHU,-,-,Brahmaputra,Brahmaputra,Dhansiri (South),-,-,Dhansiri (South),26.01944444,93.78972222,05-07-2024 17:30,4.6
12601,Bokajan,CWC,18,Assam,292,KARBI ANGLONG,DIPHU,-,-,Brahmaputra,Brahmaputra,Dhansiri (South),-,-,Dhansiri (South),26.01944444,93.78972222,10-07-2024 05:30,4.8
12602,Bokajan,CWC,18,Assam,292,KARBI ANGLONG,DIPHU,-,-,Brahmaputra,Brahmaputra,Dhansiri (South),-,-,Dhansiri (South),26.01944444,93.78972222,14-07-2024 02:30,11.8
12603,Bokajan,CWC,18,Assam,292,KARBI ANGLONG,DIPHU,-,-,Brahmaputra,Brahmaputra,Dhansiri (South),-,-,Dhansiri (South),26.01944444,93.78972222,14-07-2024 05:30,14.6
12604,Bokajan,CWC,18,Assam,292,KARBI ANGLONG,DIPHU,-,-,Brahmaputra,Brahmaputra,Dhansiri (South),-,-,Dhansiri (South),26.01944444,93.78972222,16-07-2024 08:30,2.2
12605,Bokajan,CWC,18,Assam,292,KARBI ANGLONG,DIPHU,-,-,Brahmaputra,Brahmaputra,Dhansiri (South),-,-,Dhansiri (South),26.01944444,93.78972222,18-07-2024 11:30,4.8
12606,Bokajan,CWC,18,Assam,292,KARBI ANGLONG,DIPHU,-,-,Brahmaputra,Brahmaputra,Dhansiri (South),-,-,Dhansiri (South),26.01944444,93.78972222,21-07-2024 20:30,4.2
12607,Bokajan,CWC,18,Assam,292,KARBI ANGLONG,DIPHU,-,-,Brahmaputra,Brahmaputra,Dhansiri (South),-,-,Dhansiri (South),26.01944444,93.78972222,21-07-2024 23:30,8.6
12608,Bokajan,CWC,18,Assam,292,KARBI ANGLONG,DIPHU,-,-,Brahmaputra,Brahmaputra,Dhansiri (South),-,-,Dhansiri (South),26.01944444,93.78972222,22-07-2024 05:30,2.6
12609,Bokajan,CWC,18,Assam,292,KARBI ANGLONG,DIPHU,-,-,Brahmaputra,Brahmaputra,Dhansiri (South),-,-,Dhansiri (South),26.01944444,93.78972222,24-07-2024 23:30,8.4
12610,Bokajan,CWC,18,Assam,292,KARBI ANGLONG,DIPHU,-,-,Brahmaputra,Brahmaputra,Dhansiri (South),-,-,Dhansiri (South),26.01944444,93.78972222,29-07-2024 05:30,3.2
12611,Bokajan,CWC,18,Assam,292,KARBI ANGLONG,DIPHU,-,-,Brahmaputra,Brahmaputra,Dhansiri (South),-,-,Dhansiri (South),26.01944444,93.78972222,30-07-2024 08:30,19.4
12612,Bokajan,CWC,18,Assam,292,KARBI ANGLONG,DIPHU,-,-,Brahmaputra,Brahmaputra,Dhansiri (South),-,-,Dhansiri (South),26.01944444,93.78972222,30-07-2024 11:30,8.6
12613,Bokajan,CWC,18,Assam,292,KARBI ANGLONG,DIPHU,-,-,Brahmaputra,Brahmaputra,Dhansiri (South),-,-,Dhansiri (South),26.01944444,93.78972222,06-08-2024 05:30,3.6
12614,Bokajan,CWC,18,Assam,292,KARBI ANGLONG,DIPHU,-,-,Brahmaputra,Brahmaputra,Dhansiri (South),-,-,Dhansiri (South),26.01944444,93.78972222,07-08-2024 20:30,2.8
12615,Bokajan,CWC,18,Assam,292,KARBI ANGLONG,DIPHU,-,-,Brahmaputra,Brahmaputra,Dhansiri (South),-,-,Dhansiri (South),26.01944444,93.78972222,07-08-2024 23:30,1
