SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Telemetry Hourly Rainfall (mm)
40,AP Ghat,CWC,18,Assam,282,CACHAR,SONAI,-,-,-,Barak and Others,-,-,-,-,24.83194444,92.79611111,19-04-2021 04:00,22
41,AP Ghat,CWC,18,Assam,282,CACHAR,SONAI,-,-,-,Barak and Others,-,-,-,-,24.83194444,92.79611111,19-04-2021 05:00,5
42,AP Ghat,CWC,18,Assam,282,CACHAR,SONAI,-,-,-,Barak and Others,-,-,-,-,24.83194444,92.79611111,19-04-2021 07:00,3
43,AP Ghat,CWC,18,Assam,282,CACHAR,SONAI,-,-,-,Barak and Others,-,-,-,-,24.83194444,92.79611111,19-04-2021 10:00,6
44,AP Ghat,CWC,18,Assam,282,CACHAR,SONAI,-,-,-,Barak and Others,-,-,-,-,24.83194444,92.79611111,20-04-2021 02:00,20
45,AP Ghat,CWC,18,Assam,282,CACHAR,SONAI,-,-,-,Barak and Others,-,-,-,-,24.83194444,92.79611111,20-04-2021 03:00,7.5
46,AP Ghat,CWC,18,Assam,282,CACHAR,SONAI,-,-,-,Barak and Others,-,-,-,-,24.83194444,92.79611111,20-04-2021 04:00,1
47,AP Ghat,CWC,18,Assam,282,CACHAR,SONAI,-,-,-,Barak and Others,-,-,-,-,24.83194444,92.79611111,20-04-2021 05:00,162
48,AP Ghat,CWC,18,Assam,282,CACHAR,SONAI,-,-,-,Barak and Others,-,-,-,-,24.83194444,92.79611111,20-04-2021 06:00,11.5
49,AP Ghat,CWC,18,Assam,282,CACHAR,SONAI,-,-,-,Barak and Others,-,-,-,-,24.83194444,92.79611111,20-04-2021 07:00,0.5
50,AP Ghat,CWC,18,Assam,282,CACHAR,SONAI,-,-,-,Barak and Others,-,-,-,-,24.83194444,92.79611111,28-04-2021 10:00,0.5
51,AP Ghat,CWC,18,Assam,282,CACHAR,SONAI,-,-,-,Barak and Others,-,-,-,-,24.83194444,92.79611111,01-05-2021 20:00,2.5
52,AP Ghat,CWC,18,Assam,282,CACHAR,SONAI,-,-,-,Barak and Others,-,-,-,-,24.83194444,92.79611111,03-05-2021 06:00,1
53,AP Ghat,CWC,18,Assam,282,CACHAR,SONAI,-,-,-,Barak and Others,-,-,-,-,24.83194444,92.79611111,03-05-2021 07:00,9.5
54,AP Ghat,CWC,18,Assam,282,CACHAR,SONAI,-,-,-,Barak and Others,-,-,-,-,24.83194444,92.79611111,03-05-2021 08:00,2.5
55,AP Ghat,CWC,18,Assam,282,CACHAR,SONAI,-,-,-,Barak and Others,-,-,-,-,24.83194444,92.79611111,04-05-2021 04:00,13
56,AP Ghat,CWC,18,Assam,282,CACHAR,SONAI,-,-,-,Barak and Others,-,-,-,-,24.83194444,92.79611111,04-05-2021 15:00,1
57,AP Ghat,CWC,18,Assam,282,CACHAR,SONAI,-,-,-,Barak and Others,-,-,-,-,24.83194444,92.79611111,04-05-2021 17:00,0.5
58,AP Ghat,CWC,18,Assam,282,CACHAR,SONAI,-,-,-,Barak and Others,-,-,-,-,24.83194444,92.79611111,08-05-2021 07:00,8.5
59,AP Ghat,CWC,18,Assam,282,CACHAR,SONAI,-,-,-,Barak and Others,-,-,-,-,24.83194444,92.79611111,12-05-2021 06:00,6.5
60,AP Ghat,CWC,18,Assam,282,CACHAR,SONAI,-,-,-,Barak and Others,-,-,-,-,24.83194444,92.79611111,12-05-2021 07:00,2
61,AP Ghat,CWC,18,Assam,282,CACHAR,SONAI,-,-,-,Barak and Others,-,-,-,-,24.83194444,92.79611111,12-05-2021 08:00,10
62,AP Ghat,CWC,18,Assam,282,CACHAR,SONAI,-,-,-,Barak and Others,-,-,-,-,24.83194444,92.79611111,12-05-2021 09:00,0.5
63,AP Ghat,CWC,18,Assam,282,CACHAR,SONAI,-,-,-,Barak and Others,-,-,-,-,24.83194444,92.79611111,13-05-2021 07:00,4
64,AP Ghat,CWC,18,Assam,282,CACHAR,SONAI,-,-,-,Barak and Others,-,-,-,-,24.83194444,92.79611111,13-05-2021 08:00,6.5
65,AP Ghat,CWC,18,Assam,282,CACHAR,SONAI,-,-,-,Barak and Others,-,-,-,-,24.83194444,92.79611111,13-05-2021 16:00,0.5
66,AP Ghat,CWC,18,Assam,282,CACHAR,SONAI,-,-,-,Barak and Others,-,-,-,-,24.83194444,92.79611111,13-05-2021 17:00,0.5
67,AP Ghat,CWC,18,Assam,282,CACHAR,SONAI,-,-,-,Barak and Others,-,-,-,-,24.83194444,92.79611111,13-05-2021 22:00,0.5
68,AP Ghat,CWC,18,Assam,282,CACHAR,SONAI,-,-,-,Barak and Others,-,-,-,-,24.83194444,92.79611111,14-05-2021 00:00,0.5
69,AP Ghat,CWC,18,Assam,282,CACHAR,SONAI,-,-,-,Barak and Others,-,-,-,-,24.83194444,92.79611111,14-05-2021 01:00,4
70,AP Ghat,CWC,18,Assam,282,CACHAR,SONAI,-,-,-,Barak and Others,-,-,-,-,24.83194444,92.79611111,14-05-2021 02:00,12
71,AP Ghat,CWC,18,Assam,282,CACHAR,SONAI,-,-,-,Barak and Others,-,-,-,-,24.83194444,92.79611111,14-05-2021 03:00,4.5
72,AP Ghat,CWC,18,Assam,282,CACHAR,SONAI,-,-,-,Barak and Others,-,-,-,-,24.83194444,92.79611111,14-05-2021 04:00,11
